title,price,rating,price_with_discount
Автоматична годівниця з Wi-Fi,2 329 грн,4.96,2 229 грн.
Фонтан-поїлка,749 грн,5.00,
Йоржик для чистки фонтану,49 грн,,
"Набір фільтрів для фонтану, 3 шт",199 грн,5.00,
Прозора переноска,989 грн,4.97,
Фурмінатор,399 грн,5.00,399 грн.
Фурмінатор PRO,499 грн,,
Щітка з авто-видаленням,229 грн,5.00,
Парова щітка,449 грн,5.00,
Ножиці з отвором,199 грн,5.00,
Кігтеріз з підсвіткою,399 грн,5.00,
Липучка від шерсті,99 грн,,
Светрик “Сердечка”,299 грн,5.00,
Светрик “Соня”,299 грн,5.00,
Светрик “Амур”,299 грн,5.00,
Рибка рухома з котячою мʼятою,389 грн,4.91,
Рибка з м’ятою,95 грн,5.00,
Повідець-рулетка,399 грн,,399 грн.
Повідець-крила,199 грн,5.00,199 грн.
Повідець-бджілка,175 грн,5.00,
Плед,99 грн,5.00,
Плаття з сердечками,249 грн,,
Плаття з полуницею,299 грн,5.00,
"Вологий корм Carny Country Курка + Телятина + Оленина, 100g",80 грн,5.00,
"Вологий корм Carny Country Курка + Індичка + Форель, 100g",80 грн,5.00,
"Вологий корм Carny Country Індичка + Яловичина + Оленина, 100g",80 грн,5.00,
Парова щітка “Лапка”,449 грн,5.00,349 грн.
Парова щітка,449 грн,5.00,
Панамка з отворами для вух,159 грн,5.00,
Паличка мататабі,12 грн,5.00,
Окуляри-сердечка,99 грн,5.00,
Ножиці з отвором,199 грн,5.00,
Ножиці з відсіком,199 грн,,
Новорічний светрик з оленями,399 грн,5.00,
Новорічний светрик з оленем,399 грн,5.00,
Светрик “Halloween”,399 грн,5.00,
Новорічний светрик з оленем,399 грн,5.00,
Набір до Дня народження,149 грн,5.00,
Новорічний светрик “Ельф”,399 грн,5.00,
Намисто з камінчиком,149 грн,5.00,
Накидка “Олень”,299 грн,5.00,
"Набір фільтрів для фонтану, 3 шт",199 грн,5.00,
Набір з трьох липучок від шерсті,297 грн,,249 грн.
Набір Переноска + Светрик + Пледик,1 387 грн,5.00,1 149 грн.
Набір для консерв,249 грн,5.00,
Набір грумера для домашнього догляду,1 415 грн,5.00,1 149 грн.
Набір іграшок,748 грн,5.00,599 грн.
"Набір “Переноска, повідець і пледик”",1 287 грн,5.00,1 287 грн.
М’ятний ролик-лизун Лапка,129 грн,,
М’ятний ролик-лизун Авокадо,179 грн,5.00,129 грн.
Морква,105 грн,5.00,
"Молочна закуска Animonda Milkies, 15g",25 грн,5.00,
Миска з нержавіючої сталі,159 грн,5.00,
"Миска з вушками, керамічна",449 грн,5.00,
Метелик краватка,75 грн,5.00,
Майка в товсту полоску,179 грн,5.00,
Майка в полоску,189 грн,5.00,
Липучка від шерсті,99 грн,,
Літаюча пташка,249 грн,5.00,199 грн.
"Крем-стік Carny з лососем і таурином, 15g",25 грн,5.00,
"Крем-стік Carny з куркою і таурином, 15g",25 грн,5.00,
Керамічна мисочка-фрукт,399 грн,5.00,
Кігтеріз з підсвіткою,399 грн,5.00,
Йоржик для чистки фонтану,49 грн,,
"Есенція для парової щітки, спрей",89 грн,,
Дозатор для корму,385 грн,5.00,
Галстук,149 грн,5.00,
Вудочка,115 грн,5.00,
"Батарейки Kodak, Type D, лужні, комплект з 3 штук",325 грн,,
Автоматична годівниця з Wi-Fi,2 329 грн,4.96,2 229 грн.
Годівниця на дві миски з камерою та Wi-Fi,3 999 грн,,
Автоматична годівниця з камерою та Wi-Fi,3 799 грн,5.00,3 499 грн.
Інтерактивний м’ячик,299 грн,5.00,
Смарт-лазер інтерактивний,1 099 грн,,989 грн.
Смарт-іграшка з пір’ям та звуковим ефектом,899 грн,,
Інтерактивне йо-йо,375 грн,5.00,
Ігровий комплекс 3 в 1,599 грн,5.00,
"Вологий корм Carny Курка + Яловичина для кошенят, 200g",95 грн,5.00,
"Вологий корм-пауч Carny Курка + Лосось, 85g",75 грн,5.00,
“Метелик” інтерактивна іграшка,649 грн,5.00,
"Стікери з мемними котиками, 50 шт",149 грн,,
Сорочка з яскравими квітами,199 грн,5.00,
Сорочка в клітинку офісна,199 грн,,
Силіконовий килимок під миски,199 грн,,
Прозора переноска,989 грн,4.97,
Переноска-валіза на колесах,3 499 грн,,
Піжамка,299 грн,5.00,
"Напальчники для чищення вушок з бавовни, 50 шт",99 грн,5.00,
Набір для догляду за зубами котів і собак,279 грн,,
Набір “Годівниця та фонтан”,2 748 грн,5.00,2 298 грн.
Мантія “Дракула”,299 грн,5.00,
Ложка для крем-стіків,149 грн,,
Лежанка-дряпка на вікно,999 грн,5.00,
Літній охолоджуючий килимок,249 грн,5.00,
Літаюча пташка горобець,519 грн,5.00,449 грн.
Крила “Кажан”,149 грн,,
Корзина-органайзер для котячих речей,399 грн,,
Контейнер для корму,449 грн,,
Килимок двошаровий під котячий туалет,349 грн,5.00,
Змінна дряпка для лежанки,299 грн,,
Джинсовка,399 грн,5.00,399 грн.
Бальзам для догляду лапок і носика,149 грн,,
PETKIT PUROBOT MAX PRO з камерою,25 999 грн,,18 999 грн.
Светрик однотонний білий,299 грн,5.00,
Светрик “Свинка”,299 грн,5.00,
Окуляри тигрові,99 грн,5.00,
Мережевий зарядний пристрій,145 грн,,
Автоматична годівниця,1 999 грн,5.00,
"Вологий корм-пауч Carny для кошенят Яловичина + Телятина + Курка, 85g",75 грн,5.00,
"Carny Crunchy хрусткі снеки Яловичина + Курка, 50g",70 грн,5.00,
"Carny Crunchy хрусткі снеки мультим’ясний коктейль, 50g",70 грн,5.00,
"Carny Crunchy хрусткі снеки Курка + Лосось, 50g",70 грн,5.00,
"Вологий корм Carny Яловичина + Тріска з петрушкою, 200g",95 грн,5.00,
"Вологий корм Carny Курка + Яловичина, 200g",95 грн,5.00,
